Bestandsnaam;Bestandsmappen;Bron_Onderwerp;Bron_Afzender;Bron_Ontvangstdatum;Bron_Emailadres;Map1;Map2;Map3;Map4;Situatie;Onderwerp;Relatietypering;Relatie;Kringlidtypering;Documenttypering
Tele2 factuur 27dec2015 dec2015 jan   20162459.pdf;N\:leverancier\internet\TELE2;;;;;leverancier;internet;TELE2;;Bezigheid;abonnement;;TELE2;;Factuur
Algemene Voorwaarden T-Mobile   Abonnee2405.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;
Bevestiging contractvernieuwing   T-Mobile   5179985   90251187092406.msg;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Bevestiging
ebmscan0325 Verlenging contract per   7juni2011 Riet2407.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Overeenkomst
ebmscan0326 Verlenging contract per   7juni2011 Theo2408.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Overeenkomst
Mediamarkt Contractverlening bij t-mobile   22-7-2019 Riet2409.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Overeenkomst
Mediamarkt Contractverlening bij t-mobile   22-7-2019 Theo2410.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Overeenkomst
Mediamarkt Contractverlening bij t-mobile   26062021 riet2411.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Overeenkomst
Mediamarkt Contractverlening bij t-mobile   26062021 theo2412.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Overeenkomst
Odido\_Factuur\_2023\_202402171003432413.zip;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Factuur
Serienummer gsm2414.doc;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;
T-Mobile    Uw abonnement 1.14162455 vanaf 8 juli 2017 tot 8 juli 20182415.msg;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;
T-Mobile Thuis Overeenkomst Internet en   TV april 20212416.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Overeenkomst
T-Mobile\_CreditNote\_20181207 theo2417.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;
T-Mobile\_Factuur\_20181001 theo2418.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Factuur
T-Mobile\_Factuur\_20181030 theo2419.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Factuur
T-Mobile\_Factuur\_20181203 theo2420.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Factuur
T-Mobile\_Factuur\_20181231 theo2421.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Factuur
T-Mobile\_Factuur\_20190130 Riet2422.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Factuur
T-Mobile\_Factuur\_20190130 theo2423.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Factuur
T-Mobile\_Factuur\_20190304 riet2424.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Factuur
T-Mobile\_Factuur\_20190401 theo2426.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Factuur
T-Mobile\_Factuur\_20190430 riet2427.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Factuur
T-Mobile\_Factuur\_20190430 theo2428.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Factuur
T-Mobile\_Factuur\_20190529 riet2429.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Factuur
T-Mobile\_Factuur\_20190529 theo2430.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Factuur
T-Mobile\_Factuur\_20190701 riet2431.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Factuur
T-Mobile\_Factuur\_20190701 theo2432.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Factuur
T-Mobile\_Factuur\_20190730 riet2433.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Factuur
T-Mobile\_Factuur\_20190730 theo2434.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Factuur
T-Mobile\_Factuur\_20190829  riet2435.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Factuur
T-Mobile\_Factuur\_20190829 theo2436.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Factuur
T-Mobile\_Factuur\_20190930 riet2437.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Factuur
img417-561..pdf;;Re: Receipt Fontanacota;Caterina Berta;2025-10-17 15:52:38;caterinaber\@gmail.com;;;;;;;;;;
Derkman nota\_222304615.1\_Koper\_met   bijagen\_21245\_01-03-20222024.pdf;N\:huis\S68\notaris;;;;;huis;S68;notaris;;Bezigheid;S68;;;;Factuur
formulier inventarisatie   overdrachtsbelasting geen startersvrijstelling 2 kopers2025.pdf;N\:huis\S68\notaris;;;;;huis;S68;notaris;;Bezigheid;S68;;;;Factuur
Ingevuld document politiek prominente   personen Geurts2026.pdf;N\:huis\S68\notaris;;;;;huis;S68;notaris;;Bezigheid;S68;;;;Factuur
Ingevuld formulier inventarisatie   overdrachtsbelasting Geurts2027.pdf;N\:huis\S68\notaris;;;;;huis;S68;notaris;;Bezigheid;S68;;;;Factuur
Ingevuld intakeformulier koper   Geurts2028.pdf;N\:huis\S68\notaris;;;;;huis;S68;notaris;;Bezigheid;S68;;;;Factuur
inlichtingenformulier\_koper   26-01-2022\_212452029.pdf;N\:huis\S68\notaris;;;;;huis;S68;notaris;;Bezigheid;S68;;;;Factuur
Toelichting-koopovereenkomst-bestaande-eengezinswoning-model-20212030.pdf;N\:huis\S68\notaris;;;;;huis;S68;notaris;;Bezigheid;S68;;;;Factuur
Contact opnemen2031.txt;N\:huis\S68\project subsidie energiebezuiniging;;;;;huis;S68;project subsidie energiebezuiniging;;Bezigheid;S68;;;;
ING Betaalbewijs Ten Hagen   Detail-ING-Bankieren\_NL30INGB0003400688\_07-mei-2022\_zydbjzow342032.pdf;N\:huis\S68\project subsidie energiebezuiniging;;;;;huis;S68;project subsidie energiebezuiniging;;Bezigheid;S68;;;;Betalingsbewijs
ISDE Verbreed subsidie aanvraag vloer en   glas2033.pdf;N\:huis\S68\project subsidie energiebezuiniging;;;;;huis;S68;project subsidie energiebezuiniging;;Bezigheid;S68;;;;Aanvraag
Isolatiemaatregelen Stiegert 86 7482 GE   Haaksbergen tbv RVO2034.docx;N\:huis\S68\project subsidie energiebezuiniging;;;;;huis;S68;project subsidie energiebezuiniging;;Bezigheid;S68;;;;
Isolatiemaatregelen Stiegert 86 7482 GE   Haaksbergen2035.docx;N\:huis\S68\project subsidie energiebezuiniging;;;;;huis;S68;project subsidie energiebezuiniging;;Bezigheid;S68;;;;
Lammertink  factuur vloerisolatie 210520222036.pdf;N\:huis\S68\project subsidie energiebezuiniging;;;;;huis;S68;project subsidie energiebezuiniging;;Bezigheid;S68;;;;Factuur
Offerte vloer isolatie 050320222037.pdf;N\:huis\S68\project subsidie energiebezuiniging;;;;;huis;S68;project subsidie energiebezuiniging;;Bezigheid;S68;;;;Offerte
Serbo   2022-0110-dhr-en-mevr-geurts2038.pdf;N\:huis\S68\project subsidie energiebezuiniging;;;;;huis;S68;project subsidie energiebezuiniging;;Bezigheid;S68;;;;
SERBO factuur schuifpui   2022-0054-dhr-en-mevr-geurts2039.pdf;N\:huis\S68\project subsidie energiebezuiniging;;;;;huis;S68;project subsidie energiebezuiniging;;Bezigheid;S68;;;;Factuur
Serbo Offerte 4 dlege schuifpui   a2022-0084-dhr-en-mevr-geurts2040.pdf;N\:huis\S68\project subsidie energiebezuiniging;;;;;huis;S68;project subsidie energiebezuiniging;;Bezigheid;S68;;;;Offerte
SNS Betaal bewijs Serbo deel 1   transactie-detail\_NL97SNSB0939267551\_202209201200592041.pdf;N\:huis\S68\project subsidie energiebezuiniging;;;;;huis;S68;project subsidie energiebezuiniging;;Bezigheid;S68;;;;
SNS Betaalbewijs Lammertink   transactie-detail\_NL97SNSB0939267551\_202209201158442042.pdf;N\:huis\S68\project subsidie energiebezuiniging;;;;;huis;S68;project subsidie energiebezuiniging;;Bezigheid;S68;;;;Betalingsbewijs
SNS Betaalbewijs Serbo deel 2   transactie-detail\_NL97SNSB0939267551\_202209201201562043.pdf;N\:huis\S68\project subsidie energiebezuiniging;;;;;huis;S68;project subsidie energiebezuiniging;;Bezigheid;S68;;;;Betalingsbewijs
SNS Betaalbewijs Ten Hagen   transactie-detail\_NL97SNSB0939267551\_202209201203002044.pdf;N\:huis\S68\project subsidie energiebezuiniging;;;;;huis;S68;project subsidie energiebezuiniging;;Bezigheid;S68;;;;Betalingsbewijs
Ten Hagen Schilderwerken 2022\_00153   Factuur HR glas2045.pdf;N\:huis\S68\project subsidie energiebezuiniging;;;;;huis;S68;project subsidie energiebezuiniging;;Bezigheid;S68;;;;Factuur
Ten Hasge HR glas 2022\_00153   Offerte2046.pdf;N\:huis\S68\project subsidie energiebezuiniging;;;;;huis;S68;project subsidie energiebezuiniging;;Bezigheid;S68;;;;Offerte
Voorwaarden voor subsidie per   isolatiemaatregel (automatisch hersteld)2047.docx;N\:huis\S68\project subsidie energiebezuiniging;;;;;huis;S68;project subsidie energiebezuiniging;;Bezigheid;S68;;;;
Voorwaarden voor subsidie per   isolatiemaatregel2048.docx;N\:huis\S68\project subsidie energiebezuiniging;;;;;huis;S68;project subsidie energiebezuiniging;;Bezigheid;S68;;;;
KeesSmit Bestelling - 177277792049.pdf;N\:huis\S68\tuin;;;;;huis;S68;tuin;;Bezigheid;S68;;;;
Brief 5-4-2018 ALLSAFE2050.pdf;N\:huis\verhuizer;;;;;huis;verhuizer;;;Bezigheid;huis;;;;Brief
Brief Hofman 19-1-2019 opslag   verhuizing2051.pdf;N\:huis\verhuizer;;;;;huis;verhuizer;;;Bezigheid;huis;;;;Brief
SOS Kinderdorpen gift 050120162052.pdf;N\:idiële instelling;;;;;idiële instelling;;;;Bezigheid;abonnement;;;;
Stichting vrienden van het Saalmerink   3-4-20172053.pdf;N\:idiële instelling;;;;;idiële instelling;;;;Bezigheid;abonnement;;;;
Brief    Natuurmonumenten ledenpas 2023 060120232054.pdf;N\:idiële instelling\Natuurmonumenten;;;;;idiële instelling;Natuurmonumenten;;;"Geval; Bezigheid";abonnement;Goede doelen;Natuurmonumenten;;Brief
Brief 10-1-2019 ledenpas 20192055.pdf;N\:idiële instelling\Natuurmonumenten;;;;;idiële instelling;Natuurmonumenten;;;"Geval; Bezigheid";abonnement;Goede doelen;Natuurmonumenten;;Brief
Brief 11-1-20182056.pdf;N\:idiële instelling\Natuurmonumenten;;;;;idiële instelling;Natuurmonumenten;;;"Geval; Bezigheid";abonnement;Goede doelen;Natuurmonumenten;;Brief
Gebruiksvoorwaarden-464..pdf;;Uw veiligheidscode: 293712;SingleKey ID Team;2025-11-29 09:28:09;support\@singlekey-id.com;;;;;;;;;;
Vitens betalingsherinnering jan   20162535.pdf;N\:leverancier\water\Vitens;;;;;leverancier;water;Vitens;;Bezigheid;water;;Vitens;;
Vitens bevestigign wijziging   130420162536.pdf;N\:leverancier\water\Vitens;;;;;leverancier;water;Vitens;;Bezigheid;water;;Vitens;;
Vitens factuur maart mei 2016   711047848662537.pdf;N\:leverancier\water\Vitens;;;;;leverancier;water;Vitens;;Bezigheid;water;;Vitens;;Factuur
Vitens factuur sep nov 2015   731031465632538.pdf;N\:leverancier\water\Vitens;;;;;leverancier;water;Vitens;;Bezigheid;water;;Vitens;;Factuur
Vitens Herinnering 9apr20162539.pdf;N\:leverancier\water\Vitens;;;;;leverancier;water;Vitens;;Bezigheid;water;;Vitens;;
AlgemeneVoorwaardenCIEv2.5   270120172540.pdf;N\:Lidmaatschap\Vereniging Eigenhuis;;;;;Lidmaatschap;Vereniging Eigenhuis;;;"Geval; Bezigheid";abonnement;Belangenorganisatie;Vereniging Eigenhuis;;
Brief contributie lidmaatschap   130420232541.pdf;N\:Lidmaatschap\Vereniging Eigenhuis;;;;;Lidmaatschap;Vereniging Eigenhuis;;;"Geval; Bezigheid";abonnement;Belangenorganisatie;Vereniging Eigenhuis;;Brief
Brief contributie lidmaatschap   300420242542.pdf;N\:Lidmaatschap\Vereniging Eigenhuis;;;;;Lidmaatschap;Vereniging Eigenhuis;;;"Geval; Bezigheid";abonnement;Belangenorganisatie;Vereniging Eigenhuis;;Brief
Brief contributie lidmaatschap   8-4-20202543.pdf;N\:Lidmaatschap\Vereniging Eigenhuis;;;;;Lidmaatschap;Vereniging Eigenhuis;;;"Geval; Bezigheid";abonnement;Belangenorganisatie;Vereniging Eigenhuis;;Brief
Brief herinnering contributie   lidmaatschap 160520242544.pdf;N\:Lidmaatschap\Vereniging Eigenhuis;;;;;Lidmaatschap;Vereniging Eigenhuis;;;"Geval; Bezigheid";abonnement;Belangenorganisatie;Vereniging Eigenhuis;;Brief
Brief herinnering contributie   lidmaatschap 18-5-20212545.pdf;N\:Lidmaatschap\Vereniging Eigenhuis;;;;;Lidmaatschap;Vereniging Eigenhuis;;;"Geval; Bezigheid";abonnement;Belangenorganisatie;Vereniging Eigenhuis;;Brief
Factuur Veh 12042021 lidmaatschap2546.pdf;N\:Lidmaatschap\Vereniging Eigenhuis;;;;;Lidmaatschap;Vereniging Eigenhuis;;;"Geval; Bezigheid";abonnement;Belangenorganisatie;Vereniging Eigenhuis;;Factuur
Factuur Veh 12042022 lidmaatschap   110420222547.pdf;N\:Lidmaatschap\Vereniging Eigenhuis;;;;;Lidmaatschap;Vereniging Eigenhuis;;;"Geval; Bezigheid";abonnement;Belangenorganisatie;Vereniging Eigenhuis;;Factuur
Speedcomfort slimme radiatorventilator   280120172548.pdf;N\:Lidmaatschap\Vereniging Eigenhuis;;;;;Lidmaatschap;Vereniging Eigenhuis;;;"Geval; Bezigheid";abonnement;Belangenorganisatie;Vereniging Eigenhuis;;
VEH Brief energieleverancier   250120172549.pdf;N\:Lidmaatschap\Vereniging Eigenhuis;;;;;Lidmaatschap;Vereniging Eigenhuis;;;"Geval; Bezigheid";abonnement;Belangenorganisatie;Vereniging Eigenhuis;;Brief
VPRO factuur 20162550.pdf;N\:Lidmaatschap\VPRO;;;;;Lidmaatschap;VPRO;;;"Geval; Bezigheid";abonnement;Mediabedrijf;VPRO;;Factuur
VPRO factuur 2016\_00012551.pdf;N\:Lidmaatschap\VPRO;;;;;Lidmaatschap;VPRO;;;"Geval; Bezigheid";abonnement;Mediabedrijf;VPRO;;Factuur
VPRO factuur 20172552.pdf;N\:Lidmaatschap\VPRO;;;;;Lidmaatschap;VPRO;;;"Geval; Bezigheid";abonnement;Mediabedrijf;VPRO;;Factuur
VPRO factuur 2019 10-12-20182553.pdf;N\:Lidmaatschap\VPRO;;;;;Lidmaatschap;VPRO;;;"Geval; Bezigheid";abonnement;Mediabedrijf;VPRO;;Factuur
VPRO factuur 2019 29-1-20192554.pdf;N\:Lidmaatschap\VPRO;;;;;Lidmaatschap;VPRO;;;"Geval; Bezigheid";abonnement;Mediabedrijf;VPRO;;Factuur
VPRO factuur 2020 14-12-20192555.pdf;N\:Lidmaatschap\VPRO;;;;;Lidmaatschap;VPRO;;;"Geval; Bezigheid";abonnement;Mediabedrijf;VPRO;;Factuur
VPRO factuur 2021 12-12-20202556.pdf;N\:Lidmaatschap\VPRO;;;;;Lidmaatschap;VPRO;;;"Geval; Bezigheid";abonnement;Mediabedrijf;VPRO;;Factuur
VPRO factuur 2022 061220212557.pdf;N\:Lidmaatschap\VPRO;;;;;Lidmaatschap;VPRO;;;"Geval; Bezigheid";abonnement;Mediabedrijf;VPRO;;Factuur
Brief VIP kaart 290120242558.pdf;N\:loterij;;;;;loterij;;;;;;;;;Brief
VV Haaksbergen opzegbrief2559.doc;N\:ontspanning\sport;;;;;ontspanning;sport;;;Bezigheid;sport;;;;Brief
Aabnmelding fit kickboxing2560.pdf;N\:ontspanning\sport\club;;;;;ontspanning;sport;club;;Bezigheid;sport;;;;Melding
Adressen vakantie2561.doc;N\:ontspanning\vakantie;;;;;ontspanning;vakantie;;;Bezigheid;vakantie;;;;
Beste ThAPM Geurts bevestiging hotel   rome2562.doc;N\:ontspanning\vakantie;;;;;ontspanning;vakantie;;;Bezigheid;vakantie;;;;Bevestiging
Checklist vakantie2563.doc;N\:ontspanning\vakantie;;;;;ontspanning;vakantie;;;Bezigheid;vakantie;;;;
Entiteiten2828.docx;N\:programmatuur\programeren\casus huis DMS;;;;;programmatuur;programeren;casus huis DMS;;Bezigheid;programmeren;;;;
HADORA\_1.012829.pdf;N\:programmatuur\programeren\casus huis DMS;;;;;programmatuur;programeren;casus huis DMS;;Bezigheid;programmeren;;;;
Handreiking\_beschrijving\_informatieobjecten\_v0.22830.pdf;N\:programmatuur\programeren\casus huis DMS;;;;;programmatuur;programeren;casus huis DMS;;Bezigheid;programmeren;;;;
Voorwaarden\_partner\_NL\_NL-40..pdf;;Bedankt voor je bestelling;bol;2026-06-14 17:38:47;automail\@bol.com;;;;;;;;;;
huishoudelijke uitgaven januari   20080028.pdf;N\:administratie\rapporten huishoudelijke uitgaven 2008;;;;;administratie;rapporten huishoudelijke uitgaven 2008;;;Bezigheid;administratie;;;;Rapport
huishoudelijke uitgaven juli 20080029.pdf;N\:administratie\rapporten huishoudelijke uitgaven 2008;;;;;administratie;rapporten huishoudelijke uitgaven 2008;;;Bezigheid;administratie;;;;Rapport
huishoudelijke uitgaven juni 20080030.pdf;N\:administratie\rapporten huishoudelijke uitgaven 2008;;;;;administratie;rapporten huishoudelijke uitgaven 2008;;;Bezigheid;administratie;;;;Rapport
huishoudelijke uitgaven maart   20080031.pdf;N\:administratie\rapporten huishoudelijke uitgaven 2008;;;;;administratie;rapporten huishoudelijke uitgaven 2008;;;Bezigheid;administratie;;;;Rapport
2025-10-22 justanswer\_chat on tax   benefits divorced parents-553..pdf;;justanswer chat over gescheiden ouders en belastingvoordelen in CH;Geert Geurts;2025-10-22 20:12:21;geert\@verweggistan.eu;;;;;;;;;;
F21845464151009\_gebruikersverklaring   Katarina Izarikova1879.pdf;N\:huis\L94\verhuur Katarina Izarikova;;;;;huis;L94;verhuur Katarina Izarikova;;Bezigheid;L94;;;;Verklaring
Gebruikersverklaring Katarina1880.pdf;N\:huis\L94\verhuur Katarina Izarikova;;;;;huis;L94;verhuur Katarina Izarikova;;Bezigheid;L94;;;;Verklaring
151223 gebruikersklaring Pizarro Ortega   getekend1881.pdf;N\:huis\L94\verhuur Mauricio Pizarro Ortega;;;;;huis;L94;verhuur Mauricio Pizarro Ortega;;Bezigheid;L94;;;;
201506122025579881882.pdf;N\:huis\L94\verhuur Mauricio Pizarro Ortega;;;;;huis;L94;verhuur Mauricio Pizarro Ortega;;Bezigheid;L94;;;;
acumulado nómina 2014 1883.pdf;N\:huis\L94\verhuur Mauricio Pizarro Ortega;;;;;huis;L94;verhuur Mauricio Pizarro Ortega;;Bezigheid;L94;;;;
acumulado nómina 2015 1884.pdf;N\:huis\L94\verhuur Mauricio Pizarro Ortega;;;;;huis;L94;verhuur Mauricio Pizarro Ortega;;Bezigheid;L94;;;;
V O L M A C H T aan Paul   Borghuis1934.docx;N\:huis\L94\VvE de Hofstadt\ALV 28jun2016;;;;;huis;L94;VvE de Hofstadt;ALV 28jun2016;Bezigheid;L94;;;;
V O L M A C H T aan Paul Borghuis1935.pdf;N\:huis\L94\VvE de Hofstadt\ALV 28jun2016;;;;;huis;L94;VvE de Hofstadt;ALV 28jun2016;Bezigheid;L94;;;;
170426 agenda ledenvergadering 3 mei   20171936.pdf;N\:huis\L94\VvE de Hofstadt\ALV 3 mei 2017;;;;;huis;L94;VvE de Hofstadt;ALV 3 mei 2017;Bezigheid;L94;;;;
2017 april 28 Machtigingsformulier VvE De   Hofstad ALV 3 mei 20171937.docx;N\:huis\L94\VvE de Hofstadt\ALV 3 mei 2017;;;;;huis;L94;VvE de Hofstadt;ALV 3 mei 2017;Bezigheid;L94;;;;Machtiging
2017 april 28 Machtigingsformulier VvE De   Hofstad ALV 3 mei 20171938.pdf;N\:huis\L94\VvE de Hofstadt\ALV 3 mei 2017;;;;;huis;L94;VvE de Hofstadt;ALV 3 mei 2017;Bezigheid;L94;;;;Machtiging
Bijlage 2.1 Krosing-Fisser1939.pdf;N\:huis\L94\VvE de Hofstadt\ALV 3 mei 2017;;;;;huis;L94;VvE de Hofstadt;ALV 3 mei 2017;Bezigheid;L94;;;;
Bijlage 3.1 notulen alv 23 november   20161940.pdf;N\:huis\L94\VvE de Hofstadt\ALV 3 mei 2017;;;;;huis;L94;VvE de Hofstadt;ALV 3 mei 2017;Bezigheid;L94;;;;
Bijlage 3.2  actiepunten1941.pdf;N\:huis\L94\VvE de Hofstadt\ALV 3 mei 2017;;;;;huis;L94;VvE de Hofstadt;ALV 3 mei 2017;Bezigheid;L94;;;;
Bijlage 4.1 jaarverslag 20161942.pdf;N\:huis\L94\VvE de Hofstadt\ALV 3 mei 2017;;;;;huis;L94;VvE de Hofstadt;ALV 3 mei 2017;Bezigheid;L94;;;;Verslag
Bijlage 6.1 mjop onderhoud1943.pdf;N\:huis\L94\VvE de Hofstadt\ALV 3 mei 2017;;;;;huis;L94;VvE de Hofstadt;ALV 3 mei 2017;Bezigheid;L94;;;;
Bijlage 9.1 Notulen tuincommissie 19   april 20171944.pdf;N\:huis\L94\VvE de Hofstadt\ALV 3 mei 2017;;;;;huis;L94;VvE de Hofstadt;ALV 3 mei 2017;Bezigheid;L94;;;;
F40105690\_concept\_agenda\_ledenvergadering\_VvE\_De\_Hofstad\_3\_mei\_20171945.pdf;N\:huis\L94\VvE de Hofstadt\ALV 3 mei 2017;;;;;huis;L94;VvE de Hofstadt;ALV 3 mei 2017;Bezigheid;L94;;;;
160805 Notulen ALV 28 juni 20161946.pdf;N\:huis\L94\VvE de Hofstadt\ALV23nov2016;;;;;huis;L94;VvE de Hofstadt;ALV23nov2016;Bezigheid;L94;;;;
161116 Agenda ledenvergadering 23   november 20161947.pdf;N\:huis\L94\VvE de Hofstadt\ALV23nov2016;;;;;huis;L94;VvE de Hofstadt;ALV23nov2016;Bezigheid;L94;;;;
161116 bijlage begroting 20171948.pdf;N\:huis\L94\VvE de Hofstadt\ALV23nov2016;;;;;huis;L94;VvE de Hofstadt;ALV23nov2016;Bezigheid;L94;;;;
161116 bijlage onderhoud-tg1949.pdf;N\:huis\L94\VvE de Hofstadt\ALV23nov2016;;;;;huis;L94;VvE de Hofstadt;ALV23nov2016;Bezigheid;L94;;;;
161116 bijlage onderhoud1950.pdf;N\:huis\L94\VvE de Hofstadt\ALV23nov2016;;;;;huis;L94;VvE de Hofstadt;ALV23nov2016;Bezigheid;L94;;;;
Vergadering ALV - Uitnodiging +   volmacht1951.msg;N\:huis\L94\VvE de Hofstadt\ALV23nov2016;;;;;huis;L94;VvE de Hofstadt;ALV23nov2016;Bezigheid;L94;;;;Uitnodiging
Declaratie bankkosten 16okt20131952.docx;N\:huis\L94\VvE de Hofstadt\declaraties;;;;;huis;L94;VvE de Hofstadt;declaraties;Bezigheid;L94;;;;
Declaratie kosten 12 juni 20131953.docx;N\:huis\L94\VvE de Hofstadt\declaraties;;;;;huis;L94;VvE de Hofstadt;declaraties;Bezigheid;L94;;;;
Declaratie kosten 16 juli 20131954.docx;N\:huis\L94\VvE de Hofstadt\declaraties;;;;;huis;L94;VvE de Hofstadt;declaraties;Bezigheid;L94;;;;
Declaratie kosten 18 nov 20131955.docx;N\:huis\L94\VvE de Hofstadt\declaraties;;;;;huis;L94;VvE de Hofstadt;declaraties;Bezigheid;L94;;;;
Declaratie kosten 18 sept 20131956.docx;N\:huis\L94\VvE de Hofstadt\declaraties;;;;;huis;L94;VvE de Hofstadt;declaraties;Bezigheid;L94;;;;
Declaratie kosten 25 sept 20131957.docx;N\:huis\L94\VvE de Hofstadt\declaraties;;;;;huis;L94;VvE de Hofstadt;declaraties;Bezigheid;L94;;;;
Declaratie reiskosten 12 feb 2013   21958.pdf;N\:huis\L94\VvE de Hofstadt\declaraties;;;;;huis;L94;VvE de Hofstadt;declaraties;Bezigheid;L94;;;;
Declaratie reiskosten 12 feb   20131959.docx;N\:huis\L94\VvE de Hofstadt\declaraties;;;;;huis;L94;VvE de Hofstadt;declaraties;Bezigheid;L94;;;;
Declaratie reiskosten 12 feb 20131960.pdf;N\:huis\L94\VvE de Hofstadt\declaraties;;;;;huis;L94;VvE de Hofstadt;declaraties;Bezigheid;L94;;;;
Declaratie reiskosten 16 mei   20131961.docx;N\:huis\L94\VvE de Hofstadt\declaraties;;;;;huis;L94;VvE de Hofstadt;declaraties;Bezigheid;L94;;;;
Declaratie reiskosten 24nov20141962.docx;N\:huis\L94\VvE de Hofstadt\declaraties;;;;;huis;L94;VvE de Hofstadt;declaraties;Bezigheid;L94;;;;
Declaratie reiskosten 26 juni   20131963.docx;N\:huis\L94\VvE de Hofstadt\declaraties;;;;;huis;L94;VvE de Hofstadt;declaraties;Bezigheid;L94;;;;
1bdacc33-faf4-11f0-a493-883d24f59680-271..csv;;[Product Update] Automatic enablement of new OpenTelemetry ingestion API;Google Cloud;2026-02-09 11:12:45;CloudPlatform-noreply\@google.com;;;;;;;;;;
Breuker factuur W22167014   270620222965.pdf;N\:winkel\elktrozaak;;;;;winkel;elktrozaak;;;Geval;;Winkel;elktrozaak;;Factuur
Breuker factuur W23171323   310120232966.pdf;N\:winkel\elktrozaak;;;;;winkel;elktrozaak;;;Geval;;Winkel;elktrozaak;;Factuur
Breukers Oder 250520222967.pdf;N\:winkel\elktrozaak;;;;;winkel;elktrozaak;;;Geval;;Winkel;elktrozaak;;
Factuur Schuring Naaimachine   090920202968.pdf;N\:winkel\elktrozaak;;;;;winkel;elktrozaak;;;Geval;;Winkel;elktrozaak;;Factuur
Mediamarkt factuur 16-12-2021 Xiaomi   redmi note 10s riet2969.pdf;N\:winkel\elktrozaak;;;;;winkel;elktrozaak;;;Geval;;Winkel;elktrozaak;;Factuur
